,parameter_name,experiment_id,metabolite_id,mic_id,enzyme_id,phos_enz_id,drain_id,value,edges
0,km,,,adn_c,AHC1,,,0.00107517,
1,km,,,ahcys_c,AHC1,,,0.0133602,
2,km,,,hcys-L_c,AHC1,,,0.0290285,
3,km,,,dmgly_c,BHMT1,,,0.0643266,
4,km,,,glyb_c,BHMT1,,,0.498185,
5,km,,,hcys-L_c,BHMT1,,,0.0212094,
6,km,,,met-L_c,BHMT1,,,0.00962892,
7,km,,,cyst-L_c,CBS1,,,0.00242316,
8,km,,,hcys-L_c,CBS1,,,0.0477173,
9,km,,,ser-L_c,CBS1,,,0.00258027,
10,km,,,amet_c,GNMT1,,,0.178113,
11,km,,,gly_c,GNMT1,,,2.15725,
12,km,,,atp_c,MAT1,,,0.999429,
13,km,,,met-L_c,MAT1,,,0.185475,
14,km,,,atp_c,MAT3,,,2.9242,
15,km,,,met-L_c,MAT3,,,0.581194,
16,km,,,ahcys_c,METH_Gen,,,0.0324167,
17,km,,,amet_c,METH_Gen,,,0.009538,
18,km,,,cmga_c,METH_Gen,,,0.00751427,
19,km,,,mga_c,METH_Gen,,,0.00545839,
20,km,,,5mthf_c,MS1,,,0.0171877,
21,km,,,hcys-L_c,MS1,,,0.00173364,
22,km,,,met-L_c,MS1,,,0.00920799,
23,km,,,thf_c,MS1,,,0.0578381,
24,km,,,mlthf_c,MTHFR1,,,0.0797188,
25,km,,,nadph_c,MTHFR1,,,0.021524,
0,drain,dataset_1,,,,,PROT,0.132966,
1,drain,dataset_10,,,,,PROT,0.122291,
2,drain,dataset_11,,,,,PROT,0.133985,
3,drain,dataset_12,,,,,PROT,0.142867,
4,drain,dataset_2,,,,,PROT,0.15734,
5,drain,dataset_3,,,,,PROT,0.109033,
6,drain,dataset_4,,,,,PROT,0.140552,
7,drain,dataset_5,,,,,PROT,0.13162,
8,drain,dataset_6,,,,,PROT,0.139546,
9,drain,dataset_7,,,,,PROT,0.215221,
10,drain,dataset_8,,,,,PROT,0.160424,
11,drain,dataset_9,,,,,PROT,0.136783,
12,drain,dataset_1,,,,,met-L_source,0.738054,
13,drain,dataset_10,,,,,met-L_source,0.829759,
14,drain,dataset_11,,,,,met-L_source,0.826138,
15,drain,dataset_12,,,,,met-L_source,0.701659,
16,drain,dataset_2,,,,,met-L_source,1.24607,
17,drain,dataset_3,,,,,met-L_source,0.803415,
18,drain,dataset_4,,,,,met-L_source,0.747022,
19,drain,dataset_5,,,,,met-L_source,0.749181,
20,drain,dataset_6,,,,,met-L_source,0.802586,
21,drain,dataset_7,,,,,met-L_source,0.755919,
22,drain,dataset_8,,,,,met-L_source,0.772389,
23,drain,dataset_9,,,,,met-L_source,0.788104,
0,ki,,,ahcys_c,GNMT1,,,7.83639e-05,
1,ki,,,5mthf_c,METH_Gen,,,0.0086446,
0,diss_t,,,mlthf_c,GNMT1,,,0.217165,
1,diss_t,,,amet_c,MTHFR1,,,0.00498774,
0,diss_r,,,amet_c,CBS1,,,0.235713,
1,diss_r,,,amet_c,GNMT1,,,0.201239,
2,diss_r,,,amet_c,MAT3,,,0.0804233,
3,diss_r,,,ahcys_c,MTHFR1,,,0.000329752,
0,transfer_constant,,,,CBS1,,,1.89305,
1,transfer_constant,,,,GNMT1,,,0.974765,
2,transfer_constant,,,,MAT3,,,0.295509,
3,transfer_constant,,,,MTHFR1,,,0.603743,
0,kcat,,,,AHC1,,,253.725,
1,kcat,,,,BHMT1,,,9.41918,
2,kcat,,,,CBS1,,,7.78902,
3,kcat,,,,GNMT1,,,17.5284,
4,kcat,,,,MAT1,,,3.51228,
5,kcat,,,,MAT3,,,40.154,
6,kcat,,,,METH_Gen,,,1.22954,
7,kcat,,,,MS1,,,1.73296,
8,kcat,,,,MTHFR1,,,2.60922,
0,conc_unbalanced,dataset_1,,adn_c,,,,0.015217,
1,conc_unbalanced,dataset_10,,adn_c,,,,0.00397381,
